"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
5.6,90.0000000000002,-98,-3.31375055047737,-6.46609402026359
5.6,90.0000000000002,-96,-3.15962114656461,-6.03578849229553
5.6,90.0000000000002,-94,-2.98856173467116,-5.61082301851949
5.6,90.0000000000002,-92,-2.79780743373795,-5.18613038605318
5.6,90.0000000000002,-90,-2.58589651953032,-4.75699556299662
5.6,90.0000000000002,-88,-2.35287854047542,-4.31933641159244
5.6,90.0000000000002,-86,-2.10038902888576,-3.87007346169112
5.6,90.0000000000002,-84,-1.83159537200099,-3.40749669859924
5.6,90.0000000000002,-82,-1.55103718538181,-2.93153017333444
5.6,90.0000000000002,-80,-1.2643970546634,-2.44381590447644
5.6,90.0000000000002,-78,-0.978241106924053,-1.94758402306635
5.6,90.0000000000002,-76,-0.69976402951694,-1.44733211435055
5.6,90.0000000000002,-74,-0.436562875880102,-0.948383285458911
5.6,90.0000000000002,-72,-0.196452293415381,-0.456414291148224
5.6,90.0000000000002,-70,0.0126757808559131,0.0229614580956787
5.6,90.0000000000002,-68,0.182950152931052,0.484498326221374
5.6,90.0000000000002,-66,0.306578407932419,0.923487881436317
5.6,90.0000000000002,-64,0.375862362741144,1.33580326345576
5.6,90.0000000000002,-62,0.38315926499488,1.71785141557262
5.6,90.0000000000002,-60,0.320764548424836,2.06647716328023
5.6,90.0000000000002,-58,0.180676655907545,2.37886219405415
5.6,90.0000000000002,-56,-0.0458130117194298,2.65245078994805
5.6,90.0000000000002,-54,-0.368780566160701,2.88491620828243
5.6,90.0000000000002,-52,-0.800673240050215,3.07416216460512
5.6,90.0000000000002,-50,-1.35775586291902,3.21833894247343
5.6,90.0000000000002,-48,-2.06206233642788,3.31584807715493
5.6,90.0000000000002,-46,-2.94368892834993,3.3653151307557
5.6,90.0000000000002,-44,-4.04224910857201,3.36552458918058
5.6,90.0000000000002,-42,-5.40190677260037,3.31532861855244
5.6,90.0000000000002,-40,-7.03561759354853,3.21355487260349
5.6,90.0000000000002,-38,-8.76550253482194,3.058941403818
5.6,90.0000000000002,-36,-9.79690215925805,2.85011666728996
5.6,90.0000000000002,-34,-8.96524515742115,2.58562297411867
5.6,90.0000000000002,-32,-6.70028874410053,2.2639609375082
5.6,90.0000000000002,-30,-4.19681607617805,1.88362088652919
5.6,90.0000000000002,-28,-1.92892026465633,1.44307343171784
5.6,90.0000000000002,-26,0.0382430532183617,0.940718889019272
5.6,90.0000000000002,-24,1.73663689384747,0.374841332718128
